Site,Fish Species,Fish per 40m2,Standard Deviation,,,,,
A ver o mar,Stegastes fuscus,36.0331,8.9256,,,,,
A ver o mar,Acanthurus bahianus,29.7521,13.5537,,,,,
A ver o mar,Pempheris schomburgki,25.4545,11.2397,,,,,
A ver o mar,Halichoeres poeyi,21.1570,12.2314,,,,,
A ver o mar,Abudefduf saxotilis,15.5372,9.9174,,,,,
Caieiras,Stegastes fuscus,55.6828,19.0308,,,,,
Caieiras,Abudefduf saxatilis,11.6300,10.5727,,,,,
Caieiras,Halichoeres poeyi,9.5154,13.0396,,,,,
Caieiras,Acanthurus bahianus,9.1630,4.9339,,,,,
Caieiras,Haemulon aurolineatum,7.7533,3.5242,,,,,
